com.github.Matoking.protontricks	stable	flathub
com.usebottles.bottles	stable	flathub
io.github.Faugus.faugus-launcher	stable	flathub
net.davidotek.pupgui2	stable	flathub
org.jdownloader.JDownloader	stable	flathub
